tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021seattle,Premier,Pool,Sick Kick,Backpacked to Premier?,Gabe Finocchi,Ryan Gross,Alex Goates,Solomon Berry,21,13
2021seattle,Premier,Pool,Sick Kick,Backpacked to Premier?,Gabe Finocchi,Ryan Gross,Alex Goates,Solomon Berry,21,16
2021seattle,Premier,Pool,Ortega/Boles,I Pity the Fool who Carries,Kenny Ortega,Skyler Boles,Malachi Espinola,Zach Duffy,21,18
2021seattle,Premier,Pool,Ortega/Boles,I Pity the Fool who Carries,Kenny Ortega,Skyler Boles,Malachi Espinola,Zach Duffy,21,19
2021seattle,Premier,Pool,Trippy Lizard,Western Grebes,Clark Marshall,Andrew Card,Jake Howhannesian,Lucas Pruett,21,14
2021seattle,Premier,Pool,Trippy Lizard,Western Grebes,Clark Marshall,Andrew Card,Jake Howhannesian,Lucas Pruett,21,13
2021seattle,Premier,Pool,Double Clutch,Fiddle me,fredric hinkle,Rahul Murthy,Andrew Kosche,Jacob Martinez,21,11
2021seattle,Premier,Pool,Double Clutch,Fiddle me,fredric hinkle,Rahul Murthy,Andrew Kosche,Jacob Martinez,21,15
2021seattle,Premier,Pool,Shabammon,Smash Bros,Buddy Hammon,Shaun Boyer,Derek Johnson,Austin Denny,21,16
2021seattle,Premier,Pool,Shabammon,Smash Bros,Buddy Hammon,Shaun Boyer,Timothy Bradshaw,Joshua Bradshaw,21,16
2021seattle,Premier,Pool,Shabammon,Smash Bros,Buddy Hammon,Shaun Boyer,Derek Johnson,Austin Denny,21,17
2021seattle,Premier,Pool,Shabammon,Smash Bros,Buddy Hammon,Shaun Boyer,Timothy Bradshaw,Joshua Bradshaw,21,17
2021seattle,Premier,Pool,Knotty,Mutant Roundnet,Ryan Fitzgerald,Jarratt Rouse,Josh Fragiacomo,Warren Foote,21,19
2021seattle,Premier,Pool,Knotty,Mutant Roundnet,Ryan Fitzgerald,Jarratt Rouse,Josh Fragiacomo,Warren Foote,20,22
2021seattle,Premier,Pool,Knotty,Mutant Roundnet,Ryan Fitzgerald,Jarratt Rouse,Josh Fragiacomo,Warren Foote,24,22
2021seattle,Premier,Pool,Sick Kick,I Pity the Fool who Carries,Gabe Finocchi,Ryan Gross,Malachi Espinola,Zach Duffy,21,17
2021seattle,Premier,Pool,Sick Kick,I Pity the Fool who Carries,Gabe Finocchi,Ryan Gross,Malachi Espinola,Zach Duffy,21,16
2021seattle,Premier,Pool,Highly Calculated,Backpacked to Premier?,Dan Abrams,Ravi Kandula,Alex Goates,Solomon Berry,21,12
2021seattle,Premier,Pool,Highly Calculated,Backpacked to Premier?,Dan Abrams,Ravi Kandula,Alex Goates,Solomon Berry,21,17
2021seattle,Premier,Pool,Trippy Lizard,Fiddle me,Clark Marshall,Andrew Card,Andrew Kosche,Jacob Martinez,21,18
2021seattle,Premier,Pool,Trippy Lizard,Fiddle me,Clark Marshall,Andrew Card,Andrew Kosche,Jacob Martinez,21,18
