tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021nationals,pro,pool,sloppy seconds,gold diggers,gabe finocchi,travis core,garrett hornok,kyle ackermann,21.0,18.0
2021nationals,pro,pool,sloppy seconds,gold diggers,gabe finocchi,travis core,garrett hornok,kyle ackermann,21.0,19.0
2021nationals,pro,pool,outside smoke,gross eggs and ham,noah luskus,grant laughlin,ryan gross,thomas hamilton,21.0,16.0
2021nationals,pro,pool,outside smoke,gross eggs and ham,noah luskus,grant laughlin,ryan gross,thomas hamilton,24.0,22.0
2021nationals,pro,pool,double clutch,tiki taka,fredric hinkle,rahul murthy,luke marshall,matthew cole,21.0,15.0
2021nationals,pro,pool,double clutch,tiki taka,fredric hinkle,rahul murthy,luke marshall,matthew cole,21.0,17.0
2021nationals,pro,pool,wyspike toxicity,hilltop spikes,luke mowry,david louis,max model,cole model,21.0,17.0
2021nationals,pro,pool,wyspike toxicity,hilltop spikes,luke mowry,david louis,max model,cole model,19.0,21.0
2021nationals,pro,pool,wyspike toxicity,hilltop spikes,luke mowry,david louis,max model,cole model,17.0,21.0
2021nationals,pro,pool,assistive touch,foote / oswalt,craig hammon,clark marshall,ryan oswalt,warren foote,21.0,17.0
2021nationals,pro,pool,assistive touch,foote / oswalt,craig hammon,clark marshall,ryan oswalt,warren foote,21.0,18.0
2021nationals,pro,pool,knotty,volley llamas,jarratt rouse,ryan fitzgerald,william picone,joe bondi,16.0,21.0
2021nationals,pro,pool,knotty,volley llamas,jarratt rouse,ryan fitzgerald,william picone,joe bondi,16.0,21.0
2021nationals,pro,pool,ritto boys,graham/showalter,coleman epperson,ryder rivadeneyra,joel graham,pj showalter,21.0,16.0
2021nationals,pro,pool,ritto boys,graham/showalter,coleman epperson,ryder rivadeneyra,joel graham,pj showalter,21.0,11.0
2021nationals,pro,pool,lowkey,boysterous,dawson morgan,taylor church,preston bies,caleb heck,19.0,21.0
2021nationals,pro,pool,lowkey,boysterous,dawson morgan,taylor church,preston bies,caleb heck,21.0,17.0
2021nationals,pro,pool,lowkey,boysterous,dawson morgan,taylor church,preston bies,caleb heck,22.0,20.0
2021nationals,pro,pool,sloppy seconds,gross eggs and ham,gabe finocchi,travis core,ryan gross,thomas hamilton,21.0,13.0
2021nationals,pro,pool,sloppy seconds,gross eggs and ham,gabe finocchi,travis core,ryan gross,thomas hamilton,16.0,21.0
2021nationals,pro,pool,sloppy seconds,gross eggs and ham,gabe finocchi,travis core,ryan gross,thomas hamilton,21.0,19.0
2021nationals,pro,pool,outside smoke,gold diggers,noah luskus,grant laughlin,garrett hornok,kyle ackermann,13.0,21.0
2021nationals,pro,pool,outside smoke,gold diggers,noah luskus,grant laughlin,garrett hornok,kyle ackermann,25.0,27.0
2021nationals,pro,pool,double clutch,hilltop spikes,fredric hinkle,rahul murthy,max model,cole model,0.0,-1.0
2021nationals,pro,pool,double clutch,hilltop spikes,fredric hinkle,rahul murthy,max model,cole model,0.0,-1.0
2021nationals,pro,pool,wyspike toxicity,tiki taka,luke mowry,david louis,luke marshall,matthew cole,18.0,21.0
2021nationals,pro,pool,wyspike toxicity,tiki taka,luke mowry,david louis,luke marshall,matthew cole,15.0,21.0
2021nationals,pro,pool,assistive touch,volley llamas,craig hammon,clark marshall,william picone,joe bondi,18.0,21.0
2021nationals,pro,pool,assistive touch,volley llamas,craig hammon,clark marshall,william picone,joe bondi,21.0,18.0
2021nationals,pro,pool,assistive touch,volley llamas,craig hammon,clark marshall,william picone,joe bondi,20.0,22.0
2021nationals,pro,pool,knotty,foote / oswalt,jarratt rouse,ryan fitzgerald,ryan oswalt,warren foote,19.0,21.0
2021nationals,pro,pool,knotty,foote / oswalt,jarratt rouse,ryan fitzgerald,ryan oswalt,warren foote,16.0,21.0
2021nationals,pro,pool,ritto boys,boysterous,coleman epperson,ryder rivadeneyra,preston bies,caleb heck,21.0,17.0
2021nationals,pro,pool,ritto boys,boysterous,coleman epperson,ryder rivadeneyra,preston bies,caleb heck,21.0,17.0
2021nationals,pro,pool,lowkey,graham/showalter,dawson morgan,taylor church,joel graham,pj showalter,21.0,19.0
2021nationals,pro,pool,lowkey,graham/showalter,dawson morgan,taylor church,joel graham,pj showalter,21.0,13.0
2021nationals,pro,pool,sloppy seconds,outside smoke,gabe finocchi,travis core,noah luskus,grant laughlin,21.0,18.0
2021nationals,pro,pool,sloppy seconds,outside smoke,gabe finocchi,travis core,noah luskus,grant laughlin,24.0,22.0
2021nationals,pro,pool,gross eggs and ham,gold diggers,ryan gross,thomas hamilton,garrett hornok,kyle ackermann,1.0,0.0
2021nationals,pro,pool,gross eggs and ham,gold diggers,ryan gross,thomas hamilton,garrett hornok,kyle ackermann,0.0,1.0
2021nationals,pro,pool,gross eggs and ham,gold diggers,ryan gross,thomas hamilton,garrett hornok,kyle ackermann,0.0,1.0
2021nationals,pro,pool,double clutch,wyspike toxicity,fredric hinkle,rahul murthy,luke mowry,david louis,21.0,16.0
2021nationals,pro,pool,double clutch,wyspike toxicity,fredric hinkle,rahul murthy,luke mowry,david louis,21.0,13.0
2021nationals,pro,pool,hilltop spikes,tiki taka,max model,cole model,luke marshall,matthew cole,-1.0,0.0
2021nationals,pro,pool,hilltop spikes,tiki taka,max model,cole model,luke marshall,matthew cole,-1.0,0.0
2021nationals,pro,pool,assistive touch,knotty,craig hammon,clark marshall,jarratt rouse,ryan fitzgerald,21.0,18.0
2021nationals,pro,pool,assistive touch,knotty,craig hammon,clark marshall,jarratt rouse,ryan fitzgerald,21.0,14.0
2021nationals,pro,pool,volley llamas,foote / oswalt,william picone,joe bondi,ryan oswalt,warren foote,21.0,11.0
2021nationals,pro,pool,volley llamas,foote / oswalt,william picone,joe bondi,ryan oswalt,warren foote,18.0,21.0
2021nationals,pro,pool,volley llamas,foote / oswalt,william picone,joe bondi,ryan oswalt,warren foote,19.0,21.0
2021nationals,pro,pool,ritto boys,lowkey,coleman epperson,ryder rivadeneyra,dawson morgan,taylor church,21.0,17.0
2021nationals,pro,pool,ritto boys,lowkey,coleman epperson,ryder rivadeneyra,dawson morgan,taylor church,21.0,17.0
